subject,level,subtopic,question,option_a,option_b,option_c,option_d,answer_index
math,easy,algebra,[Math | Algebra | Easy] Compute: 3 + 2 = ?,3,6,8,5,3
math,easy,geometry:circles,[Math | Geometry → Circles | Easy] Compute: 19 + 6 = ?,23,26,28,25,3
math,medium,geometry:circles,[Math | Geometry → Circles | Medium] Compute: 3 + 3 = ?,4,7,9,6,3
math,medium,geometry:circles,[Math | Geometry → Circles | Medium] Compute: 4 + 4 = ?,6,9,11,8,3
math,medium,geometry:circles,[Math | Geometry → Circles | Medium] Compute: 5 + 5 = ?,8,11,13,10,3
math,medium,geometry:circles,[Math | Geometry → Circles | Medium] Compute: 6 + 6 = ?,10,13,15,12,3
math,medium,geometry:circles,[Math | Geometry → Circles | Medium] Compute: 7 + 7 = ?,12,15,17,14,3
math,hard,geometry:circles,[Math | Geometry → Circles | Hard] Compute: 8 + 5 = ?,11,14,16,13,3
math,hard,geometry:circles,[Math | Geometry → Circles | Hard] Compute: 9 + 6 = ?,13,16,18,15,3
math,hard,geometry:circles,[Math | Geometry → Circles | Hard] Compute: 10 + 7 = ?,15,18,20,17,3
math,hard,geometry:circles,[Math | Geometry → Circles | Hard] Compute: 11 + 8 = ?,17,20,22,19,3
math,hard,geometry:circles,[Math | Geometry → Circles | Hard] Compute: 12 + 9 = ?,19,22,24,21,3
math,master,geometry:circles,[Math | Geometry → Circles | Master] Compute: 13 + 7 = ?,18,21,23,20,3
math,master,geometry:circles,[Math | Geometry → Circles | Master] Compute: 14 + 8 = ?,20,23,25,22,3
math,master,geometry:circles,[Math | Geometry → Circles | Master] Compute: 15 + 9 = ?,22,25,27,24,3
math,master,geometry:circles,[Math | Geometry → Circles | Master] Compute: 16 + 10 = ?,24,27,29,26,3
math,master,geometry:circles,[Math | Geometry → Circles | Master] Compute: 17 + 11 = ?,26,29,31,28,3
math,expert,geometry:circles,[Math | Geometry → Circles | Expert] Compute: 18 + 11 = ?,27,30,32,29,3
math,expert,geometry:circles,[Math | Geometry → Circles | Expert] Compute: 19 + 12 = ?,29,32,34,31,3
math,expert,geometry:circles,[Math | Geometry → Circles | Expert] Compute: 3 + 13 = ?,14,17,19,16,3
math,expert,geometry:circles,[Math | Geometry → Circles | Expert] Compute: 4 + 14 = ?,16,19,21,18,3
math,expert,geometry:circles,[Math | Geometry → Circles | Expert] Compute: 5 + 15 = ?,18,21,23,20,3
math,easy,geometry:coordinate-geometry,[Math | Geometry → Coordinate Geometry | Easy] Compute: 6 + 2 = ?,6,9,11,8,3
math,easy,geometry:coordinate-geometry,[Math | Geometry → Coordinate Geometry | Easy] Compute: 7 + 3 = ?,8,11,13,10,3
math,easy,geometry:coordinate-geometry,[Math | Geometry → Coordinate Geometry | Easy] Compute: 8 + 4 = ?,10,13,15,12,3
math,easy,geometry:coordinate-geometry,[Math | Geometry → Coordinate Geometry | Easy] Compute: 9 + 5 = ?,12,15,17,14,3
math,easy,geometry:coordinate-geometry,[Math | Geometry → Coordinate Geometry | Easy] Compute: 10 + 6 = ?,14,17,19,16,3
math,medium,geometry:coordinate-geometry,[Math | Geometry → Coordinate Geometry | Medium] Compute: 11 + 3 = ?,12,15,17,14,3
math,medium,geometry:coordinate-geometry,[Math | Geometry → Coordinate Geometry | Medium] Compute: 12 + 4 = ?,14,17,19,16,3
math,medium,geometry:coordinate-geometry,[Math | Geometry → Coordinate Geometry | Medium] Compute: 13 + 5 = ?,16,19,21,18,3
math,medium,geometry:coordinate-geometry,[Math | Geometry → Coordinate Geometry | Medium] Compute: 14 + 6 = ?,18,21,23,20,3
math,medium,geometry:coordinate-geometry,[Math | Geometry → Coordinate Geometry | Medium] Compute: 15 + 7 = ?,20,23,25,22,3
math,hard,geometry:coordinate-geometry,[Math | Geometry → Coordinate Geometry | Hard] Compute: 16 + 5 = ?,19,22,24,21,3
math,hard,geometry:coordinate-geometry,[Math | Geometry → Coordinate Geometry | Hard] Compute: 17 + 6 = ?,21,24,26,23,3
math,hard,geometry:coordinate-geometry,[Math | Geometry → Coordinate Geometry | Hard] Compute: 18 + 7 = ?,23,26,28,25,3
math,hard,geometry:coordinate-geometry,[Math | Geometry → Coordinate Geometry | Hard] Compute: 19 + 8 = ?,25,28,30,27,3
math,hard,geometry:coordinate-geometry,[Math | Geometry → Coordinate Geometry | Hard] Compute: 3 + 9 = ?,10,13,15,12,3
math,master,geometry:coordinate-geometry,[Math | Geometry → Coordinate Geometry | Master] Compute: 4 + 7 = ?,9,12,14,11,3
math,master,geometry:coordinate-geometry,[Math | Geometry → Coordinate Geometry | Master] Compute: 5 + 8 = ?,11,14,16,13,3
math,master,geometry:coordinate-geometry,[Math | Geometry → Coordinate Geometry | Master] Compute: 6 + 9 = ?,13,16,18,15,3
math,master,geometry:coordinate-geometry,[Math | Geometry → Coordinate Geometry | Master] Compute: 7 + 10 = ?,15,18,20,17,3
math,master,geometry:coordinate-geometry,[Math | Geometry → Coordinate Geometry | Master] Compute: 8 + 11 = ?,17,20,22,19,3
math,expert,geometry:coordinate-geometry,[Math | Geometry → Coordinate Geometry | Expert] Compute: 9 + 11 = ?,18,21,23,20,3
math,expert,geometry:coordinate-geometry,[Math | Geometry → Coordinate Geometry | Expert] Compute: 10 + 12 = ?,20,23,25,22,3
math,expert,geometry:coordinate-geometry,[Math | Geometry → Coordinate Geometry | Expert] Compute: 11 + 13 = ?,22,25,27,24,3
math,expert,geometry:coordinate-geometry,[Math | Geometry → Coordinate Geometry | Expert] Compute: 12 + 14 = ?,24,27,29,26,3
math,expert,geometry:coordinate-geometry,[Math | Geometry → Coordinate Geometry | Expert] Compute: 13 + 15 = ?,26,29,31,28,3
math,easy,calculus,[Math | Calculus | Easy] Compute: 14 + 2 = ?,14,17,19,16,3
math,easy,calculus,[Math | Calculus | Easy] Compute: 15 + 3 = ?,16,19,21,18,3
math,easy,calculus,[Math | Calculus | Easy] Compute: 16 + 4 = ?,18,21,23,20,3
math,easy,calculus,[Math | Calculus | Easy] Compute: 17 + 5 = ?,20,23,25,22,3
math,easy,calculus,[Math | Calculus | Easy] Compute: 18 + 6 = ?,22,25,27,24,3
math,medium,calculus,[Math | Calculus | Medium] Compute: 19 + 3 = ?,20,23,25,22,3
math,medium,calculus,[Math | Calculus | Medium] Compute: 3 + 4 = ?,5,8,10,7,3
math,medium,calculus,[Math | Calculus | Medium] Compute: 4 + 5 = ?,7,10,12,9,3
math,medium,calculus,[Math | Calculus | Medium] Compute: 5 + 6 = ?,9,12,14,11,3
math,medium,calculus,[Math | Calculus | Medium] Compute: 6 + 7 = ?,11,14,16,13,3
math,hard,calculus,[Math | Calculus | Hard] Compute: 7 + 5 = ?,10,13,15,12,3
math,hard,calculus,[Math | Calculus | Hard] Compute: 8 + 6 = ?,12,15,17,14,3
math,hard,calculus,[Math | Calculus | Hard] Compute: 9 + 7 = ?,14,17,19,16,3
math,hard,calculus,[Math | Calculus | Hard] Compute: 10 + 8 = ?,16,19,21,18,3
math,hard,calculus,[Math | Calculus | Hard] Compute: 11 + 9 = ?,18,21,23,20,3
math,master,calculus,[Math | Calculus | Master] Compute: 12 + 7 = ?,17,20,22,19,3
math,master,calculus,[Math | Calculus | Master] Compute: 13 + 8 = ?,19,22,24,21,3
math,master,calculus,[Math | Calculus | Master] Compute: 14 + 9 = ?,21,24,26,23,3
math,master,calculus,[Math | Calculus | Master] Compute: 15 + 10 = ?,23,26,28,25,3
math,master,calculus,[Math | Calculus | Master] Compute: 16 + 11 = ?,25,28,30,27,3
math,expert,calculus,[Math | Calculus | Expert] Compute: 17 + 11 = ?,26,29,31,28,3
math,expert,calculus,[Math | Calculus | Expert] Compute: 18 + 12 = ?,28,31,33,30,3
math,expert,calculus,[Math | Calculus | Expert] Compute: 19 + 13 = ?,30,33,35,32,3
math,expert,calculus,[Math | Calculus | Expert] Compute: 3 + 14 = ?,15,18,20,17,3
math,expert,calculus,[Math | Calculus | Expert] Compute: 4 + 15 = ?,17,20,22,19,3
math,easy,calculus:limits,[Math | Calculus → Limits | Easy] Compute: 5 + 2 = ?,5,8,10,7,3
math,easy,calculus:limits,[Math | Calculus → Limits | Easy] Compute: 6 + 3 = ?,7,10,12,9,3
math,easy,calculus:limits,[Math | Calculus → Limits | Easy] Compute: 7 + 4 = ?,9,12,14,11,3
math,easy,calculus:limits,[Math | Calculus → Limits | Easy] Compute: 8 + 5 = ?,11,14,16,13,3
math,easy,calculus:limits,[Math | Calculus → Limits | Easy] Compute: 9 + 6 = ?,13,16,18,15,3
math,medium,calculus:limits,[Math | Calculus → Limits | Medium] Compute: 10 + 3 = ?,11,14,16,13,3
math,medium,calculus:limits,[Math | Calculus → Limits | Medium] Compute: 11 + 4 = ?,13,16,18,15,3
math,medium,calculus:limits,[Math | Calculus → Limits | Medium] Compute: 12 + 5 = ?,15,18,20,17,3
math,medium,calculus:limits,[Math | Calculus → Limits | Medium] Compute: 13 + 6 = ?,17,20,22,19,3
math,medium,calculus:limits,[Math | Calculus → Limits | Medium] Compute: 14 + 7 = ?,19,22,24,21,3
math,hard,calculus:limits,[Math | Calculus → Limits | Hard] Compute: 15 + 5 = ?,18,21,23,20,3
math,hard,calculus:limits,[Math | Calculus → Limits | Hard] Compute: 16 + 6 = ?,20,23,25,22,3
math,hard,calculus:limits,[Math | Calculus → Limits | Hard] Compute: 17 + 7 = ?,22,25,27,24,3
math,hard,calculus:limits,[Math | Calculus → Limits | Hard] Compute: 18 + 8 = ?,24,27,29,26,3
math,hard,calculus:limits,[Math | Calculus → Limits | Hard] Compute: 19 + 9 = ?,26,29,31,28,3
math,master,calculus:limits,[Math | Calculus → Limits | Master] Compute: 3 + 7 = ?,8,11,13,10,3
math,master,calculus:limits,[Math | Calculus → Limits | Master] Compute: 4 + 8 = ?,10,13,15,12,3
math,master,calculus:limits,[Math | Calculus → Limits | Master] Compute: 5 + 9 = ?,12,15,17,14,3
math,master,calculus:limits,[Math | Calculus → Limits | Master] Compute: 6 + 10 = ?,14,17,19,16,3
math,master,calculus:limits,[Math | Calculus → Limits | Master] Compute: 7 + 11 = ?,16,19,21,18,3
math,expert,calculus:limits,[Math | Calculus → Limits | Expert] Compute: 8 + 11 = ?,17,20,22,19,3
math,expert,calculus:limits,[Math | Calculus → Limits | Expert] Compute: 9 + 12 = ?,19,22,24,21,3
math,expert,calculus:limits,[Math | Calculus → Limits | Expert] Compute: 10 + 13 = ?,21,24,26,23,3
math,expert,calculus:limits,[Math | Calculus → Limits | Expert] Compute: 11 + 14 = ?,23,26,28,25,3
math,expert,calculus:limits,[Math | Calculus → Limits | Expert] Compute: 12 + 15 = ?,25,28,30,27,3
math,easy,calculus:derivatives,[Math | Calculus → Derivatives | Easy] Compute: 13 + 2 = ?,13,16,18,15,3
math,easy,calculus:derivatives,[Math | Calculus → Derivatives | Easy] Compute: 14 + 3 = ?,15,18,20,17,3
math,easy,calculus:derivatives,[Math | Calculus → Derivatives | Easy] Compute: 15 + 4 = ?,17,20,22,19,3
math,easy,calculus:derivatives,[Math | Calculus → Derivatives | Easy] Compute: 16 + 5 = ?,19,22,24,21,3
math,easy,calculus:derivatives,[Math | Calculus → Derivatives | Easy] Compute: 17 + 6 = ?,21,24,26,23,3
math,medium,calculus:derivatives,[Math | Calculus → Derivatives | Medium] Compute: 18 + 3 = ?,19,22,24,21,3
math,medium,calculus:derivatives,[Math | Calculus → Derivatives | Medium] Compute: 19 + 4 = ?,21,24,26,23,3
math,medium,calculus:derivatives,[Math | Calculus → Derivatives | Medium] Compute: 3 + 5 = ?,6,9,11,8,3
math,medium,calculus:derivatives,[Math | Calculus → Derivatives | Medium] Compute: 4 + 6 = ?,8,11,13,10,3
math,medium,calculus:derivatives,[Math | Calculus → Derivatives | Medium] Compute: 5 + 7 = ?,10,13,15,12,3
math,hard,calculus:derivatives,[Math | Calculus → Derivatives | Hard] Compute: 6 + 5 = ?,9,12,14,11,3
math,hard,calculus:derivatives,[Math | Calculus → Derivatives | Hard] Compute: 7 + 6 = ?,11,14,16,13,3
math,hard,calculus:derivatives,[Math | Calculus → Derivatives | Hard] Compute: 8 + 7 = ?,13,16,18,15,3
math,hard,calculus:derivatives,[Math | Calculus → Derivatives | Hard] Compute: 9 + 8 = ?,15,18,20,17,3
math,hard,calculus:derivatives,[Math | Calculus → Derivatives | Hard] Compute: 10 + 9 = ?,17,20,22,19,3
math,master,calculus:derivatives,[Math | Calculus → Derivatives | Master] Compute: 11 + 7 = ?,16,19,21,18,3
math,master,calculus:derivatives,[Math | Calculus → Derivatives | Master] Compute: 12 + 8 = ?,18,21,23,20,3
math,master,calculus:derivatives,[Math | Calculus → Derivatives | Master] Compute: 13 + 9 = ?,20,23,25,22,3
math,master,calculus:derivatives,[Math | Calculus → Derivatives | Master] Compute: 14 + 10 = ?,22,25,27,24,3
math,master,calculus:derivatives,[Math | Calculus → Derivatives | Master] Compute: 15 + 11 = ?,24,27,29,26,3
math,expert,calculus:derivatives,[Math | Calculus → Derivatives | Expert] Compute: 16 + 11 = ?,25,28,30,27,3
math,expert,calculus:derivatives,[Math | Calculus → Derivatives | Expert] Compute: 17 + 12 = ?,27,30,32,29,3
math,expert,calculus:derivatives,[Math | Calculus → Derivatives | Expert] Compute: 18 + 13 = ?,29,32,34,31,3
math,expert,calculus:derivatives,[Math | Calculus → Derivatives | Expert] Compute: 19 + 14 = ?,31,34,36,33,3
math,expert,calculus:derivatives,[Math | Calculus → Derivatives | Expert] Compute: 3 + 15 = ?,16,19,21,18,3
math,easy,calculus:integrals,[Math | Calculus → Integrals | Easy] Compute: 4 + 2 = ?,4,7,9,6,3
math,easy,calculus:integrals,[Math | Calculus → Integrals | Easy] Compute: 5 + 3 = ?,6,9,11,8,3
math,easy,calculus:integrals,[Math | Calculus → Integrals | Easy] Compute: 6 + 4 = ?,8,11,13,10,3
math,easy,calculus:integrals,[Math | Calculus → Integrals | Easy] Compute: 7 + 5 = ?,10,13,15,12,3
math,easy,calculus:integrals,[Math | Calculus → Integrals | Easy] Compute: 8 + 6 = ?,12,15,17,14,3
math,medium,calculus:integrals,[Math | Calculus → Integrals | Medium] Compute: 9 + 3 = ?,10,13,15,12,3
math,medium,calculus:integrals,[Math | Calculus → Integrals | Medium] Compute: 10 + 4 = ?,12,15,17,14,3
math,medium,calculus:integrals,[Math | Calculus → Integrals | Medium] Compute: 11 + 5 = ?,14,17,19,16,3
math,medium,calculus:integrals,[Math | Calculus → Integrals | Medium] Compute: 12 + 6 = ?,16,19,21,18,3
math,medium,calculus:integrals,[Math | Calculus → Integrals | Medium] Compute: 13 + 7 = ?,18,21,23,20,3
math,hard,calculus:integrals,[Math | Calculus → Integrals | Hard] Compute: 14 + 5 = ?,17,20,22,19,3
math,hard,calculus:integrals,[Math | Calculus → Integrals | Hard] Compute: 15 + 6 = ?,19,22,24,21,3
math,hard,calculus:integrals,[Math | Calculus → Integrals | Hard] Compute: 16 + 7 = ?,21,24,26,23,3
math,hard,calculus:integrals,[Math | Calculus → Integrals | Hard] Compute: 17 + 8 = ?,23,26,28,25,3
math,hard,calculus:integrals,[Math | Calculus → Integrals | Hard] Compute: 18 + 9 = ?,25,28,30,27,3
math,master,calculus:integrals,[Math | Calculus → Integrals | Master] Compute: 19 + 7 = ?,24,27,29,26,3
math,master,calculus:integrals,[Math | Calculus → Integrals | Master] Compute: 3 + 8 = ?,9,12,14,11,3
math,master,calculus:integrals,[Math | Calculus → Integrals | Master] Compute: 4 + 9 = ?,11,14,16,13,3
math,master,calculus:integrals,[Math | Calculus → Integrals | Master] Compute: 5 + 10 = ?,13,16,18,15,3
math,master,calculus:integrals,[Math | Calculus → Integrals | Master] Compute: 6 + 11 = ?,15,18,20,17,3
math,expert,calculus:integrals,[Math | Calculus → Integrals | Expert] Compute: 7 + 11 = ?,16,19,21,18,3
math,expert,calculus:integrals,[Math | Calculus → Integrals | Expert] Compute: 8 + 12 = ?,18,21,23,20,3
math,expert,calculus:integrals,[Math | Calculus → Integrals | Expert] Compute: 9 + 13 = ?,20,23,25,22,3
math,expert,calculus:integrals,[Math | Calculus → Integrals | Expert] Compute: 10 + 14 = ?,22,25,27,24,3
math,expert,calculus:integrals,[Math | Calculus → Integrals | Expert] Compute: 11 + 15 = ?,24,27,29,26,3
math,easy,statistics,[Math | Statistics | Easy] Compute: 12 + 2 = ?,12,15,17,14,3
math,easy,statistics,[Math | Statistics | Easy] Compute: 13 + 3 = ?,14,17,19,16,3
math,easy,statistics,[Math | Statistics | Easy] Compute: 14 + 4 = ?,16,19,21,18,3
math,easy,statistics,[Math | Statistics | Easy] Compute: 15 + 5 = ?,18,21,23,20,3
math,easy,statistics,[Math | Statistics | Easy] Compute: 16 + 6 = ?,20,23,25,22,3
math,medium,statistics,[Math | Statistics | Medium] Compute: 17 + 3 = ?,18,21,23,20,3
math,medium,statistics,[Math | Statistics | Medium] Compute: 18 + 4 = ?,20,23,25,22,3
math,medium,statistics,[Math | Statistics | Medium] Compute: 19 + 5 = ?,22,25,27,24,3
math,medium,statistics,[Math | Statistics | Medium] Compute: 3 + 6 = ?,7,10,12,9,3
math,medium,statistics,[Math | Statistics | Medium] Compute: 4 + 7 = ?,9,12,14,11,3
math,hard,statistics,[Math | Statistics | Hard] Compute: 5 + 5 = ?,8,11,13,10,3
math,hard,statistics,[Math | Statistics | Hard] Compute: 6 + 6 = ?,10,13,15,12,3
math,hard,statistics,[Math | Statistics | Hard] Compute: 7 + 7 = ?,12,15,17,14,3
math,hard,statistics,[Math | Statistics | Hard] Compute: 8 + 8 = ?,14,17,19,16,3
math,hard,statistics,[Math | Statistics | Hard] Compute: 9 + 9 = ?,16,19,21,18,3
math,master,statistics,[Math | Statistics | Master] Compute: 10 + 7 = ?,15,18,20,17,3
math,master,statistics,[Math | Statistics | Master] Compute: 11 + 8 = ?,17,20,22,19,3
math,master,statistics,[Math | Statistics | Master] Compute: 12 + 9 = ?,19,22,24,21,3
math,master,statistics,[Math | Statistics | Master] Compute: 13 + 10 = ?,21,24,26,23,3
math,master,statistics,[Math | Statistics | Master] Compute: 14 + 11 = ?,23,26,28,25,3
math,expert,statistics,[Math | Statistics | Expert] Compute: 15 + 11 = ?,24,27,29,26,3
math,expert,statistics,[Math | Statistics | Expert] Compute: 16 + 12 = ?,26,29,31,28,3
math,expert,statistics,[Math | Statistics | Expert] Compute: 17 + 13 = ?,28,31,33,30,3
math,expert,statistics,[Math | Statistics | Expert] Compute: 18 + 14 = ?,30,33,35,32,3
math,expert,statistics,[Math | Statistics | Expert] Compute: 19 + 15 = ?,32,35,37,34,3
math,easy,statistics:descriptive,[Math | Statistics → Descriptive | Easy] Compute: 3 + 2 = ?,3,6,8,5,3
math,easy,statistics:descriptive,[Math | Statistics → Descriptive | Easy] Compute: 4 + 3 = ?,5,8,10,7,3
math,easy,statistics:descriptive,[Math | Statistics → Descriptive | Easy] Compute: 5 + 4 = ?,7,10,12,9,3
math,easy,statistics:descriptive,[Math | Statistics → Descriptive | Easy] Compute: 6 + 5 = ?,9,12,14,11,3
math,easy,statistics:descriptive,[Math | Statistics → Descriptive | Easy] Compute: 7 + 6 = ?,11,14,16,13,3
math,medium,statistics:descriptive,[Math | Statistics → Descriptive | Medium] Compute: 8 + 3 = ?,9,12,14,11,3
math,medium,statistics:descriptive,[Math | Statistics → Descriptive | Medium] Compute: 9 + 4 = ?,11,14,16,13,3
math,medium,statistics:descriptive,[Math | Statistics → Descriptive | Medium] Compute: 10 + 5 = ?,13,16,18,15,3
math,medium,statistics:descriptive,[Math | Statistics → Descriptive | Medium] Compute: 11 + 6 = ?,15,18,20,17,3
math,medium,statistics:descriptive,[Math | Statistics → Descriptive | Medium] Compute: 12 + 7 = ?,17,20,22,19,3
math,hard,statistics:descriptive,[Math | Statistics → Descriptive | Hard] Compute: 13 + 5 = ?,16,19,21,18,3
math,hard,statistics:descriptive,[Math | Statistics → Descriptive | Hard] Compute: 14 + 6 = ?,18,21,23,20,3
math,hard,statistics:descriptive,[Math | Statistics → Descriptive | Hard] Compute: 15 + 7 = ?,20,23,25,22,3
math,hard,statistics:descriptive,[Math | Statistics → Descriptive | Hard] Compute: 16 + 8 = ?,22,25,27,24,3
math,hard,statistics:descriptive,[Math | Statistics → Descriptive | Hard] Compute: 17 + 9 = ?,24,27,29,26,3
math,master,statistics:descriptive,[Math | Statistics → Descriptive | Master] Compute: 18 + 7 = ?,23,26,28,25,3
math,master,statistics:descriptive,[Math | Statistics → Descriptive | Master] Compute: 19 + 8 = ?,25,28,30,27,3
math,master,statistics:descriptive,[Math | Statistics → Descriptive | Master] Compute: 3 + 9 = ?,10,13,15,12,3
math,master,statistics:descriptive,[Math | Statistics → Descriptive | Master] Compute: 4 + 10 = ?,12,15,17,14,3
math,master,statistics:descriptive,[Math | Statistics → Descriptive | Master] Compute: 5 + 11 = ?,14,17,19,16,3
math,expert,statistics:descriptive,[Math | Statistics → Descriptive | Expert] Compute: 6 + 11 = ?,15,18,20,17,3
math,expert,statistics:descriptive,[Math | Statistics → Descriptive | Expert] Compute: 7 + 12 = ?,17,20,22,19,3
math,expert,statistics:descriptive,[Math | Statistics → Descriptive | Expert] Compute: 8 + 13 = ?,19,22,24,21,3
math,expert,statistics:descriptive,[Math | Statistics → Descriptive | Expert] Compute: 9 + 14 = ?,21,24,26,23,3
math,expert,statistics:descriptive,[Math | Statistics → Descriptive | Expert] Compute: 10 + 15 = ?,23,26,28,25,3
math,easy,statistics:probability,[Math | Statistics → Probability | Easy] Compute: 11 + 2 = ?,11,14,16,13,3
math,easy,statistics:probability,[Math | Statistics → Probability | Easy] Compute: 12 + 3 = ?,13,16,18,15,3
math,easy,statistics:probability,[Math | Statistics → Probability | Easy] Compute: 13 + 4 = ?,15,18,20,17,3
math,easy,statistics:probability,[Math | Statistics → Probability | Easy] Compute: 14 + 5 = ?,17,20,22,19,3
math,easy,statistics:probability,[Math | Statistics → Probability | Easy] Compute: 15 + 6 = ?,19,22,24,21,3
math,medium,statistics:probability,[Math | Statistics → Probability | Medium] Compute: 16 + 3 = ?,17,20,22,19,3
math,medium,statistics:probability,[Math | Statistics → Probability | Medium] Compute: 17 + 4 = ?,19,22,24,21,3
math,medium,statistics:probability,[Math | Statistics → Probability | Medium] Compute: 18 + 5 = ?,21,24,26,23,3
math,medium,statistics:probability,[Math | Statistics → Probability | Medium] Compute: 19 + 6 = ?,23,26,28,25,3
math,medium,statistics:probability,[Math | Statistics → Probability | Medium] Compute: 3 + 7 = ?,8,11,13,10,3
math,hard,statistics:probability,[Math | Statistics → Probability | Hard] Compute: 4 + 5 = ?,7,10,12,9,3
math,hard,statistics:probability,[Math | Statistics → Probability | Hard] Compute: 5 + 6 = ?,9,12,14,11,3
math,hard,statistics:probability,[Math | Statistics → Probability | Hard] Compute: 6 + 7 = ?,11,14,16,13,3
math,hard,statistics:probability,[Math | Statistics → Probability | Hard] Compute: 7 + 8 = ?,13,16,18,15,3
math,hard,statistics:probability,[Math | Statistics → Probability | Hard] Compute: 8 + 9 = ?,15,18,20,17,3
math,master,statistics:probability,[Math | Statistics → Probability | Master] Compute: 9 + 7 = ?,14,17,19,16,3
math,master,statistics:probability,[Math | Statistics → Probability | Master] Compute: 10 + 8 = ?,16,19,21,18,3
math,master,statistics:probability,[Math | Statistics → Probability | Master] Compute: 11 + 9 = ?,18,21,23,20,3
math,master,statistics:probability,[Math | Statistics → Probability | Master] Compute: 12 + 10 = ?,20,23,25,22,3
math,master,statistics:probability,[Math | Statistics → Probability | Master] Compute: 13 + 11 = ?,22,25,27,24,3
math,expert,statistics:probability,[Math | Statistics → Probability | Expert] Compute: 14 + 11 = ?,23,26,28,25,3
math,expert,statistics:probability,[Math | Statistics → Probability | Expert] Compute: 15 + 12 = ?,25,28,30,27,3
math,expert,statistics:probability,[Math | Statistics → Probability | Expert] Compute: 16 + 13 = ?,27,30,32,29,3
math,expert,statistics:probability,[Math | Statistics → Probability | Expert] Compute: 17 + 14 = ?,29,32,34,31,3
math,expert,statistics:probability,[Math | Statistics → Probability | Expert] Compute: 18 + 15 = ?,31,34,36,33,3
math,easy,statistics:distributions,[Math | Statistics → Distributions | Easy] Compute: 19 + 2 = ?,19,22,24,21,3
math,easy,statistics:distributions,[Math | Statistics → Distributions | Easy] Compute: 3 + 3 = ?,4,7,9,6,3
math,easy,statistics:distributions,[Math | Statistics → Distributions | Easy] Compute: 4 + 4 = ?,6,9,11,8,3
math,easy,statistics:distributions,[Math | Statistics → Distributions | Easy] Compute: 5 + 5 = ?,8,11,13,10,3
math,easy,statistics:distributions,[Math | Statistics → Distributions | Easy] Compute: 6 + 6 = ?,10,13,15,12,3
math,medium,statistics:distributions,[Math | Statistics → Distributions | Medium] Compute: 7 + 3 = ?,8,11,13,10,3
math,medium,statistics:distributions,[Math | Statistics → Distributions | Medium] Compute: 8 + 4 = ?,10,13,15,12,3
math,medium,statistics:distributions,[Math | Statistics → Distributions | Medium] Compute: 9 + 5 = ?,12,15,17,14,3
math,medium,statistics:distributions,[Math | Statistics → Distributions | Medium] Compute: 10 + 6 = ?,14,17,19,16,3
math,medium,statistics:distributions,[Math | Statistics → Distributions | Medium] Compute: 11 + 7 = ?,16,19,21,18,3
math,hard,statistics:distributions,[Math | Statistics → Distributions | Hard] Compute: 12 + 5 = ?,15,18,20,17,3
math,hard,statistics:distributions,[Math | Statistics → Distributions | Hard] Compute: 13 + 6 = ?,17,20,22,19,3
math,hard,statistics:distributions,[Math | Statistics → Distributions | Hard] Compute: 14 + 7 = ?,19,22,24,21,3
math,hard,statistics:distributions,[Math | Statistics → Distributions | Hard] Compute: 15 + 8 = ?,21,24,26,23,3
math,hard,statistics:distributions,[Math | Statistics → Distributions | Hard] Compute: 16 + 9 = ?,23,26,28,25,3
math,master,statistics:distributions,[Math | Statistics → Distributions | Master] Compute: 17 + 7 = ?,22,25,27,24,3
math,master,statistics:distributions,[Math | Statistics → Distributions | Master] Compute: 18 + 8 = ?,24,27,29,26,3
math,master,statistics:distributions,[Math | Statistics → Distributions | Master] Compute: 19 + 9 = ?,26,29,31,28,3
math,master,statistics:distributions,[Math | Statistics → Distributions | Master] Compute: 3 + 10 = ?,11,14,16,13,3
math,master,statistics:distributions,[Math | Statistics → Distributions | Master] Compute: 4 + 11 = ?,13,16,18,15,3
math,expert,statistics:distributions,[Math | Statistics → Distributions | Expert] Compute: 5 + 11 = ?,14,17,19,16,3
math,expert,statistics:distributions,[Math | Statistics → Distributions | Expert] Compute: 6 + 12 = ?,16,19,21,18,3
math,expert,statistics:distributions,[Math | Statistics → Distributions | Expert] Compute: 7 + 13 = ?,18,21,23,20,3
math,expert,statistics:distributions,[Math | Statistics → Distributions | Expert] Compute: 8 + 14 = ?,20,23,25,22,3
math,expert,statistics:distributions,[Math | Statistics → Distributions | Expert] Compute: 9 + 15 = ?,22,25,27,24,3
physics,easy,mechanics,[Physics | Mechanics | Easy] Compute: 10 + 2 = ?,10,13,15,12,3
physics,easy,mechanics,[Physics | Mechanics | Easy] Compute: 11 + 3 = ?,12,15,17,14,3
physics,easy,mechanics,[Physics | Mechanics | Easy] Compute: 12 + 4 = ?,14,17,19,16,3
physics,easy,mechanics,[Physics | Mechanics | Easy] Compute: 13 + 5 = ?,16,19,21,18,3
physics,easy,mechanics,[Physics | Mechanics | Easy] Compute: 14 + 6 = ?,18,21,23,20,3
physics,medium,mechanics,[Physics | Mechanics | Medium] Compute: 15 + 3 = ?,16,19,21,18,3
physics,medium,mechanics,[Physics | Mechanics | Medium] Compute: 16 + 4 = ?,18,21,23,20,3
physics,medium,mechanics,[Physics | Mechanics | Medium] Compute: 17 + 5 = ?,20,23,25,22,3
physics,medium,mechanics,[Physics | Mechanics | Medium] Compute: 18 + 6 = ?,22,25,27,24,3
